Service_Name|messageName|messageDescription|direction
FNSNOTAMPublication|NOTAMTopicMessage|Contains an instance of a NOTAM as a payload along with all message headers. The payload NOTAM is an |Out
FNSNOTAMPublicationv2.0|NOTAMTopicMessage|Contains an instance of a NOTAM as a payload along with all message headers. The payload NOTAM is an |Out
GetStaticSAA|GetSaaUuidResponse|Used by the SAA SR Service to return the UUID of an SAA.|Out
GetStaticSAA|GetUuidRequest|Used by a user to request a set of unused UUIDs.|In
GetStaticSAA|GetUuidResponse|Used by the SAA SR Service to return a set of  unused UUIDs.|Out
GetStaticSAA|GetSaaByUuidRequest.|Used by a user to request an SAA with a given UUID.|In
GetStaticSAA|GetSaaByUuidResponse|Used by the SAA SR Service to return an SAA with a given UUID. |Out
GetStaticSAA|GetSaaNamesRequest|A request to get a list of all active and pending SAA names.|In
GetStaticSAA|GetSaaNamesResponse|There are no sub data elements.|Out
GetStaticSAA|GetSaaUuidRequest|A response containing the keys for all active and pending SAAs.|In
GetStaticSAA|GetSaaUuidResponse|Used by a user to request the UUID of an SAA with the given name and type.|Out
GetStaticSAA|GetUnitByUuidRequest|Used by the service to return the UUID of an SAA.|In
GetStaticSAA|GetUnitByUuidResponse|Used by a user to request a Unit with a given UUID.|Out
GetStaticSAA|GetUnitsResponse|Used by the SAA SR Service to return a set of  unused UUIDs.|Out
GetStaticSAA|GetUuidRequest|Used by the service to return an SAA with a given UUID. |In
GetStaticSAA|GetUnitUuidRequest|Used by a user to request a set of unused UUIDs.|In
GetStaticSAA|GetUnitUuidResponse|Used by a user to request the UUID of a Unit with the given name and type.|Out
GetStaticSAA|ValidateSaaRequest|Used by the service to return the UUID of a Unit.|In
GetStaticSAA|ValidateSaaResponse|Used by a user to validate a submitted SAA definition.|Out
IntegratedTerminalWeatherService(ITWS)|APIndicatedPrecipitation|The AP (Anomalous Propagation) Indicated Precipitation product indicates the location(s) where the ITWS system has detected the possible location of AP (erroneous data) in each ASR precipitation grid.|Out
IntegratedTerminalWeatherService(ITWS)|APStatus|The AP Status product is used to signal the presence of Anomalous Propagation (AP) in the precipitation grids.|Out
IntegratedTerminalWeatherService(ITWS)|ConfiguredAlerts|A Configured Alert product is generated once every ten seconds for each runway at each airport in ITWS coverage. Configured Alerts may be generated more frequently if there are wind shear alerts. The ten seconds mentioned is the maximum time between messages. The wind shear alerts are detected instead of predicted. These messages contain alert notifications if any Wx events (such as wind shear, microburst, gust front, etc.) are predicted to affect the given runway.  These message also contain the current runway configuration for the entire airport, and a reading for the current wind direction and speed for the midpoint of the runway.|Out
IntegratedTerminalWeatherService(ITWS)|ForecastAccuracy|The Forecast Accuracy product is used by ITWS to rate the accuracy of its previous storm position and intensity forecasts. For example, it will look at the prediction from one hour and one half hour in the past, compare both to the current storm data and determine a accuracuy score (from 1-100) for each of the predictions.|Out
IntegratedTerminalWeatherService(ITWS)|ForecastContour|The Forecast Contour product contains four predicted contour lines, corresponding to the outer edges of a storm cell, for what ITWS calculates to be the position of the outer boundary of the storm cell for 30 and 60 minutes in the future, and for both standard and winter forecasts.|Out
IntegratedTerminalWeatherService(ITWS)|ForecastImage|The Forecast Image product is a standard precip image of current precipitation, plus six forecast images, each covering a ten minute period for up to one hour.|Out
IntegratedTerminalWeatherService(ITWS)|GustFrontETI|he Gust Front ETI product contains the estimated time for the nearest gust front to impact an airport. It will declare an impact when the gust front is within a configurable time (nominally 20 minutes) of reaching the airport.|Out
IntegratedTerminalWeatherService(ITWS)|GustFrontTRACONMap|A gust front is a leading edge of cool air coming down and radiating out from a thunderstorm. The wind speeds and directions can be different on the leading and trailing sides of the front, and can be hazardous for aviation. ITWS detects gust fronts and other types of frontsand predicts their locations, typically ten and twenty minutes into the future. These messages should be treated with higher priority.|Out
IntegratedTerminalWeatherService(ITWS)|HazardText5nm|The Hazard Text product is used to associate additional textual information (such as echo top values, hail, severe storm circulation etc.) with the graphical products depicting the current storm.|Out
IntegratedTerminalWeatherService(ITWS)|HazardTextLongRange|The Hazard Text product is used to associate additional textual information (such as echo top values, hail, severe storm circulation etc.) with the graphical products depicting the current storm.|Out
IntegratedTerminalWeatherService(ITWS)|HazardTextTRACON|The Hazard Text product is used to associate additional textual information (such as echo top values, hail, severe storm circulation etc.) with the graphical products depicting the current storm.|Out
IntegratedTerminalWeatherService(ITWS)|ITWS_Status_Information|Provides information about the ITWS status for the External User subsystem. It indicates whether ITWS is in Operational or Maintenance mode. If ITWS is in Maintenance mode, products are not distributed to the External Users. The message also provides an indication of the number of products that have been purged since the last issuance of the message.|Out
IntegratedTerminalWeatherService(ITWS)|MicroburstATIS|The MicroburstATIS messages are used to determine when microburst advisories should be broadcast through an airport’s Automatic Terminal Information System (ATIS).  The messages include status of a 20 minute countdown timer used to determine when the advisories should be removed from the ATIS.|Out
IntegratedTerminalWeatherService(ITWS)|MicroburstTRACONMap|The Microburst Tracon Map product is generated whenever a microburst (or wind shear) is either predicted or detected. These messages are extremely important with regard to aviation safety, and must be treated with higher priority.|Out
IntegratedTerminalWeatherService(ITWS)|Precipitation5nm|The 5nm precipitation product shows data from the TDWR surface level scan in National Weather Service (NWS) VIP 6-levels and areas indicated as attenuated data in a gridded format.|Out
IntegratedTerminalWeatherService(ITWS)|PrecipitationLongRange|The Long Range precipitation product shows data from the NEXRAD and TDWR radars in National Weather Service (NWS) VIP 6-levels and areas indicated as attenuated data in a gridded format.|Out
IntegratedTerminalWeatherService(ITWS)|PrecipitationTRACON|The TRACON precipitation product shows data from the ASRs in National Weather Service (NWS) VIP 6-levels in a gridded format after areas of anomalous propagation have been edited out.|Out
IntegratedTerminalWeatherService(ITWS)|RunwayConfiguration|The Runway Configuration Product is generated when a runway configuration is changed at any ITWS-covered airport.  It is also sent asynchronously based on either operator update or the need to update an Situation Display (SD) that has returned to Operational mode.|Out
IntegratedTerminalWeatherService(ITWS)|SM_SEP5nm|The Storm Motion Storm Extrapolated Position (SM SEP) product shows motion vectors and contours which indicate the predicted future positions of storm cells. One set of data is generated for the current state, and for 10 and 20 minutes in the future.|Out
IntegratedTerminalWeatherService(ITWS)|SM_SEPLongRange|The Storm Motion Storm Extrapolated Position (SM SEP) product shows motion vectors and contours which indicate the predicted future positions of storm cells. One set of data is generated for the current state, and for 10 and 20 minutes in the future.|Out
IntegratedTerminalWeatherService(ITWS)|SM_SEPTRACON|The Storm Motion Storm Extrapolated Position (SM SEP) product shows motion vectors and contours which indicate the predicted future positions of storm cells. One set of data is generated for the current state, and for 10 and 20 minutes in the future.|Out
IntegratedTerminalWeatherService(ITWS)|TerminalWeatherGraphicsText|The Terminal Weather Graphics Product is a text-based airport-specific product generated only for TDWR (Terminal Display Weather Radar) supported airports. It summarizes in a character-based graphic display a subset of ITWS weather information. The messages contain textual graphics depicting the location of precipitation, microbursts, and gust fronts near an airport.|Out
IntegratedTerminalWeatherService(ITWS)|TerminalWeatherTextNormal|The Terminal Weather Text products are text-based, airport-specific products generated for TDWR-supported airports. Either NORMAL messages are sent every 10 minutes, or SEND messages are sent when hazardous conditions are occurring, describing the hazards in text form. A CANCEL message is sent when the hazards have ended.|Out
IntegratedTerminalWeatherService(ITWS)|TerminalWeatherTextSpecial|The Terminal Weather Text products are text-based, airport-specific products generated for TDWR-supported airports. Either NORMAL messages are sent every 10 minutes, or SEND messages are sent when hazardous conditions are occurring, describing the hazards in text form. A CANCEL message is sent when the hazards have ended.|Out
IntegratedTerminalWeatherService(ITWS)|TornadoAlert|This product is virtually identical to the Terminal Weather Text Normal product, except for the name.|Out
IntegratedTerminalWeatherService(ITWS)|TornadoDetections|The Tornado Alert product is a text description sent after each Tornado Detection product. It contains the radius of the alert warning around the Airport Reference Point (ARP).|Out
IntegratedTerminalWeatherService(ITWS)|WindProfile|The TornadoDetections product includes the location of a tornado as determined by the NEXRAD tornado algorithm.|Out
IntegratedTerminalWeatherService(ITWS)|WindShearATIS|The Wind Profile Product provides wind direction and speeds at different altitudes for pre-configured locations associated with an airport.|Out
NWSWINSWCSGriddeddataproducts|DescribeCoverageRequest|DescribeCoverage operation request message|In
NWSWINSWCSGriddeddataproducts|DescribeCoverageResponse|DescribeCoverage operation response message|Out
NWSWINSWCSGriddeddataproducts|GetCapabilitiesRequest|GetCapabilities operation request message|In
NWSWINSWCSGriddeddataproducts|GetCapabilitiesResponse|GetCapabilities operation response message|Out
NWSWINSWCSGriddeddataproducts|GetCoverage Response|GetCoverage operation response message|Out
NWSWINSWCSGriddeddataproducts|GetCoverageRequest|GetCoverage operation request message|In
NWSWINSWCSGriddeddataproducts|RenewRequest|Renew operation request message|In
NWSWINSWCSGriddeddataproducts|RenewResponse|Renew operation response message|Out
NWSWINSWCSGriddeddataproducts|SubscribeRequest|Subscribe operation request message|In
NWSWINSWCSGriddeddataproducts|SubscribeResponse|Subscribe operation response message|Out
NWSWINSWCSGriddeddataproducts|UnsubscribeRequest|Unsubscribe operation request message|In
NWSWINSWCSGriddeddataproducts|UnsubscribeResponse|Unsubscribe operation response message|Out
NWSWINSWFSNonGriddedproducts|DescribeFeatureTypeRequest|DescribeFeatureType operation request message|In
NWSWINSWFSNonGriddedproducts|DescribeFeatureTypeResponse|DescribeFeatureType operation response message|Out
NWSWINSWFSNonGriddedproducts|GetCapabilitiesRequest|GetCapabilities operation request message|In
NWSWINSWFSNonGriddedproducts|GetCapabilitiesResponse|GetCapabilities operation response message|Out
NWSWINSWFSNonGriddedproducts|GetFeatureRequest|GetFeature operation request message|In
NWSWINSWFSNonGriddedproducts|GetFeatureResponse|GetFeature operation response message|Out
NWSWINSWFSNonGriddedproducts|RenewRequest|Renew operation request message|In
NWSWINSWFSNonGriddedproducts|RenewResponse|Renew operation response message|Out
NWSWINSWFSNonGriddedproducts|SubscribeRequest|Subscribe operation request message|In
NWSWINSWFSNonGriddedproducts|SubscribeResponse|Subscribe operation response message|Out
NWSWINSWFSNonGriddedproducts|UnsubscribeRequest|Unsubscribe operation request message|In
NWSWINSWFSNonGriddedproducts|UnsubscribeResponse|Unsubscribe operation response message|Out
PublishAltimeterSetting(WMSCR)|Publish Altimeter Setting Report|The WMSCR SWIM client may subscribe to a NEMS specified topic to obtain distributed report.|Out
PublishPIREP(WMSCR)|Publish PIREP Report|The WMSCR SWIM client may subscribe to a NEMS specified topic to obtain distributed reports. |Out
PutStaticSAA|Publish PIREP Report|The WMSCR SWIM client may subscribe to a NEMS specified topic to obtain distributed reports. |Out
SAAOperationalSchedule|Publish PIREP Report|The WMSCR SWIM client may subscribe to a NEMS specified topic to obtain distributed reports. |Out
SAAScheduleNotification|SaaScheduleMessage|The top level AIXM message object that contains all the other AIXM elements that describe a SAA schedule. |Out
StaticSAAUpdatesNotification|SAA_Notification|The JMS message that is sent out to subscribers when an SAA in the Static Repository is inserted or updated.|Out
STDDSAirportDataService(APDS)|RVRDataUpdateMessage|Runway data sent upon the receipt of RVR data includes ICAO TRACON and Airport codes|Out
STDDSInfrastructureSystemMonitorandControl(ISMC)|AirportDataServiceStatus|Provides the status of the APDS and external RVR links associated with the service.|Out
STDDSInfrastructureSystemMonitorandControl(ISMC)|SurfaceMovementEventServiceStatus|Message Type = AS|Out
STDDSInfrastructureSystemMonitorandControl(ISMC)|TerminalAutomationServiceStatus|Provides the status of the SMES and external ASDE-X/ASSC links associated with the service.|Out
STDDSInfrastructureSystemMonitorandControl(ISMC)|TowerDepartureEventServiceStatus|Message Type = SS|Out
STDDSSurfaceMovementEvent(SMES)|ASDEXMessage|Sent upon the receipt of a|Out
STDDSSurfaceMovementEvent(SMES)|SurfaceMovementEventMessage||
	System Track message or a||Out
STDDSTerminalAutomationInformation(TAIS)|AIG100 ST|TerminalAutomationStatus|Out
STDDSTerminalAutomationInformation(TAIS)|AIG200 FP|Not Sensitive|Out
STDDSTerminalAutomationInformation(TAIS)|AIG300 AR|Parsed XML|Out
STDDSTerminalAutomationInformation(TAIS)|AIG500 SI|TerminalAutomationTrackAndFlightPlanData|Out
STDDSTerminalAutomationInformation(TAIS)|AIG502 IR|Filtered|Out
STDDSTerminalAutomationInformation(TAIS)|AIG510 CR|Parsed XML|Out
STDDSTerminalAutomationInformation(TAIS)|AIG700 CR|TerminalAutomationAlertDataRaw|Out
STDDSTowerDepartureEvent(TDES)|ReconstitutionRequestStatusMessage|Response to a reconstitution request. The MsgType indicates if the reconstitution request has been accepted (RA), or rejected (RF).|Out
STDDSTowerDepartureEvent(TDES)|ReconstitutionSubscriptionToDepartureDataMessage|End-user request for a reconstitution of tower departure events|In
STDDSTowerDepartureEvent(TDES)|TowerDepartureEventMessage|Sent upon the receipt of a corresponding event from EFSTS and/or TDLS. The MsgType indicates if this event is new (DE) or reconstituted (DR).|Out
STDDSTowerDepartureEvent(TDES)|TowerDepartureEventReconstitutionCompleteMessage|Indicates the end of a set of reconstituted messages|Out
STDDSTowerDepartureEvent(TDES)|TowerDepartureEventReconstitutionStartMessage|Indicates the beginning of a set of reconstituted messages|Out
SubmitAltimeterSetting(WMSCR)|wmscr:SubmitAltSetRequest|Used by clients to submit altimeter setting reports that are stored in the database for later dissemination.|In
SubmitAltimeterSetting(WMSCR)|wmscr:SubmitAltSetResponse|This message is used in a synchronous message exchange pattern.|Out
SubmitPIREP(WMSCR)|wmscr:SubmitPirepRequest|Used by clients to submit altimeter setting reports that are stored in the database for later dissemination.|In
SubmitPIREP(WMSCR)|wmscr:SubmitPirepResponse|This message is used in a synchronous message exchange pattern.|Out
TBFMMeteringPublication(TBFM-MIS)|Adaptation Information <adp>|Provides information about applicable system adaptation to include TRACON names, gate names, configuration names, Meter Reference Point names, and stream class names.|Out
TBFMMeteringPublication(TBFM-MIS)|Aircraft Information <air>|Average size per message = 2519 bytes|Out
TBFMMeteringPublication(TBFM-MIS)|Configuration Information <con>|Estmated worst case number of <adp> messages during sync: 25 messages|Out
TBFMMeteringPublication(TBFM-MIS)|Other Information <oth>|Message frequency: Publishes only during syncs…. upon startup and  every 15 minutes per periodic sync|Out
TBFMMeteringPublication(TBFM-MIS)|Synchronization|Message latency: 1 sec|Out
TBFMReleaseTimeCoordinationService(TBFM-RTCS)|Synchronization|Message latency: 1 sec|Out
TFDMAirportandFlightInformation(AFIS)|AirportConfigurationMsg|Publishes the current airport configuration for an airport|Out
TFDMFlightSubstitutionsandOperationalMetricsService(FSOMS)|AirportConfigurationMsg|Publishes the current airport configuration for an airport|Out
TFDMFOSAirportDataInformation(ADIS)|AirportConfigurationMsg|Publishes the current airport configuration for an airport|Out
TFDMGeneralInformationService(GIS)|AirportConfigurationMsg|Publishes the current airport configuration for an airport|Out
TFDMInformationService(TIS)|AirportConfigurationMsg|Publishes the current airport configuration for an airport|Out
TFMData|Flight Data Messages|Air Traffic Flow Data consists of correlated aircraft flight data information received from various NAS sources and international participants. It contains scheduling and routing data and positional information.|Out
TFMData|Flow Information|Flow Information will be provided to FAA-authorized users via NEMS.|Out
TFMDataR13|Flight Data|Air Traffic Flow Data consists of correlated aircraft flight data information received from various NAS sources and international participants. It contains scheduling and routing data and positional information.|Out
TFMDataR13|Flow Information|Flow Information will be provided to FAA-authorized users via NEMS.|Out
TFMDataR13|International Data|The International Data business function provides the capability for TFM to exchange flight data with IDP. The message set was originally designed based on the 2007 and 2012 versions of “Doc 4444 ATM/501 Procedures for Air Navigation Services” from International Civil Aviation Organization. The TFMData implementation of International Data carries that original design but makes use of the FIXM standard for message implementation.|Out
TFMDataR13|Terminal Flight Data|Terminal Flight Data business function includes data exchanges that are part of the surface movement flow management. The incoming data flow provides target times for movement area entry, off-block, and take-off and the projected wheels-up time. See Figure 5‑6 Terminal Data – Input. The outgoing data consists of flight updates similar to the input with the additional related data provided by airline participants via the Flight Data Block request-reply service business function. Figure 5‑7 Terminal Data – Output shows the messages that comprise the output. Detailed definition of both input and output messages and their contents is provided in Appendix B Table B-12 Terminal Flight Data.  Note that both the input and output Terminal Flight Data messages reference FIXM Core v3.0 Schemas and FIXM US Extension v3.1 Schemas in the flight object since neither, on its own, satisfied all of the required content.|Out
TFMDataR13|TFMS Request Reply|The TFMData service TFMS Request Reply business function provides the capability to interact with the TFMS system in order to:|Out
TFMDataR13|TFMS Status|The TFMData Status business function provides status of all of the data flows that directly or indirectly contribute to all of the JMS messages received and/or transmitted to SWIM via NEMS. These include:|Out
TFMSDepartureQueueAcknowledgmentService(DQAS)|TFMS Status|The TFMData Status business function provides status of all of the data flows that directly or indirectly contribute to all of the JMS messages received and/or transmitted to SWIM via NEMS. These include:|Out
WMSCRReportRetrieval(WMSCR)|wmscr:FindByRegionRequest|Retrieves reports using a region as search criteria – a region consists of a US state, an ARTCC, a station surrounded by a mile radius, or a lat/long surrounded by a mile radius.|In
WMSCRReportRetrieval(WMSCR)|wmscr:FindByRegionResponse|Responds with report data that match the search criteria.|Out
WMSCRReportRetrieval(WMSCR)|wmscr:FindByStationRequest|Retrieves reports using a stationId as search criteria.|In
WMSCRReportRetrieval(WMSCR)|wmscr:FindByStationResponse|Responds with report data that match the search criteria.|Out
WMSCRReportRetrieval(WMSCR)|wmscr:FindByRegionRequest|Retrieves reports using a region as search criteria – a region consists of a US state, an ARTCC, a station surrounded by a mile radius, or a lat/long surrounded by a mile radius.|In
WMSCRReportRetrieval(WMSCR)|wmscr:FindByRegionResponse|Responds with report data that match the search criteria.|Out
WMSCRReportRetrieval(WMSCR)|wmscr:FindByStationRequest|Retrieves reports using a stationId as search criteria.|In
WMSCRReportRetrieval(WMSCR)|wmscr:FindByStationResponse|Responds with report data that match the search criteria.|Out
